date,svm,kmeans,xgboost,random forest,neural networks,reinforcement learning,llm,gan,transformers,rag
2019-03-01,0.012536996661084251,0.0010427528675703858,0.00451569922372842,0.019390726872478697,0.06602442569595854,0.01181207276097787,0.0,0.005778325486354683,0.0,0.0
2019-04-01,0.012276310714203993,0.0017399190568080575,0.005302483230056852,0.019811244388075498,0.06005471773940185,0.010295836179928805,0.0,0.004333744114766012,0.0,0.0
2019-05-01,0.016517408462111083,0.0023884274874176555,0.005652530394306351,0.029564663796164167,0.06936597230843852,0.009050405216599009,0.0,0.0037368215820458143,0.0,0.0
2019-06-01,0.015275918674365785,0.0027555346827186833,0.0052503811485447695,0.02751887551689571,0.05717968209351394,0.008613213920376877,0.0,0.003334672336284234,0.0,0.0
2019-07-01,0.01410854212944079,0.0027571690916020223,0.003946940064081788,0.029361671532860616,0.05760258539207796,0.010974117552360297,0.0,0.002423080781601816,0.0,0.0
2019-08-01,0.015187548081010459,0.003775599270451991,0.00301937354431137,0.033480824077800266,0.056947609849546194,0.01200769167439019,0.0,0.004893436512827112,0.0,0.0
2019-09-01,0.015822462002593303,0.0054562833864262444,0.0021105554408561494,0.03365000019013321,0.05464157831834126,0.016017568336948295,0.0,0.005149214682663817,0.0,0.0
2019-10-01,0.014381080026341005,0.006537851687813958,0.0024111092621746234,0.03550012320751123,0.05579912079094193,0.018941966135277592,0.0,0.006277583073518715,0.0004139072847682119,0.0
2019-11-01,0.013089211261492312,0.007205230571868086,0.003447593507614093,0.03061077683592091,0.06124667403828932,0.01914406431730372,0.0,0.007958702034617088,0.0004139072847682119,0.0
2019-12-01,0.010305776931750076,0.006592936633809127,0.00557714412237261,0.023366838930998224,0.06383602274238268,0.02115539214024834,0.0,0.006852336950313072,0.0004139072847682119,0.0
2020-01-01,0.006166812711646848,0.005947761233581676,0.01085336667508016,0.017396232684825534,0.06285185687762893,0.022773798228954492,0.0,0.007749021404866479,0.0007200922204693755,0.0
2020-02-01,0.00627791414071621,0.004499085736892934,0.013765966884212262,0.012528102093446425,0.06265652168534358,0.021303338138330574,0.0,0.007421526342707771,0.0003061849357011635,0.0
2020-03-01,0.007201005237936661,0.0037602585055283894,0.01605331929594278,0.010933510946616473,0.05427251578889987,0.01927112031009285,0.0004748338081671415,0.007247893084497399,0.0003061849357011635,0.0
2020-04-01,0.007108296662519283,0.004549120388208833,0.012935626388694147,0.012288482433485832,0.05175868710931329,0.018287822116525732,0.0007439403743673568,0.008036754967177841,0.0003061849357011635,0.0
2020-05-01,0.007557385318210666,0.00798455716676711,0.008124447399041735,0.012508977387181892,0.053426506759071166,0.014997379057518776,0.0011705615347769132,0.006867138962797203,0.0,0.0
2020-06-01,0.005583701107684351,0.011516739270377784,0.006139402368883922,0.01664156159495407,0.054212813184475336,0.013277764086024105,0.0011705615347769132,0.005724515921677922,0.0,0.0
2020-07-01,0.005375373651007058,0.010804488558127072,0.005290813236466407,0.015123621339390053,0.05393396585529797,0.009601621899155846,0.0006957277266097716,0.004443992570197473,0.0,0.0
2020-08-01,0.006667012338844898,0.01000481600146175,0.006982288202636908,0.013316710944957753,0.053787577709678916,0.00880959648442585,0.0004266211604095563,0.002629435033829852,0.00033829499323410016,0.0
2020-09-01,0.006463580636282537,0.00531417854309939,0.007201087048198585,0.009698114652976183,0.0506548758439614,0.009897004793805952,0.0,0.003708062118638919,0.0005527032265102579,0.0
2020-10-01,0.0074452560289526935,0.0019456090049337416,0.00589321391908387,0.004629207307516855,0.04624555573250966,0.011108559693655541,0.0,0.004297272833130112,0.0010435409228453365,0.0
2020-11-01,0.0074753603907402235,0.0027902035995283365,0.004938236664601665,0.005192827858761169,0.05140845377907107,0.011419638098793353,0.0,0.004016298789779831,0.0017192165985210122,0.0
2020-12-01,0.006029804663193775,0.0018982782391380611,0.004630525536069541,0.004654489423955982,0.06350749307122312,0.012864569665835681,0.0,0.007137413390641671,0.0018421762178330375,0.0
2021-01-01,0.005273839483896148,0.0019389453406608627,0.0059059022100643385,0.005501049631398464,0.06920793356438219,0.013250907130302296,0.00023474178403755868,0.006422115312866846,0.003975185824932467,0.0
2021-02-01,0.004509744596012762,0.00242807428957615,0.007209676491365173,0.007293952861614586,0.0683625307784404,0.013080459575178106,0.0004523222888243298,0.006093181434557003,0.004354670147744473,0.0
2021-03-01,0.002571929780681168,0.0017125452602887313,0.007496324135395367,0.0074021760822539145,0.0644265542753498,0.013416466077291989,0.0004523222888243298,0.008465720468169862,0.004066191167990325,0.0
